"Раздел","Ключ","Значение"
"marketplace performance","[0].platform","Ozon"
"marketplace performance","[0].revenue","1200000"
"marketplace performance","[0].orders","6000"
"marketplace performance","[0].aov","200"
"marketplace performance","[0].commission","15"
"marketplace performance","[0].logistics costs","200000"
"marketplace performance","[0].profitability","30"
"marketplace performance","[0].dynamics","10"
"marketplace performance","[0].rating","4.7"
"marketplace performance","[0].reviews","1500"
"assortment analysis","top products[0].name","бюстгальтер push-up"
"assortment analysis","top products[0].revenue","300000"
"assortment analysis","top products[0].margin","40"
"assortment analysis","top products[0].units sold","15000"
"assortment analysis","top products[0].growth","20"
"assortment analysis","top products[1].name","нижнее бельё из органического хлопка"
"assortment analysis","top products[1].revenue","250000"
"assortment analysis","top products[1].margin","35"
"assortment analysis","top products[1].units sold","12000"
"assortment analysis","top products[1].growth","15"
"assortment analysis","low performers[0].name","ночные сорочки"
"assortment analysis","low performers[0].reason","низкий интерес аудитории"
"assortment analysis","low performers[0].stock","500"
"assortment analysis","low performers[0].recommendation","переориентировать ассортимент"
"assortment analysis","gaps[0]","недостаточно представлен женский casual look"
"assortment analysis","gaps[1]","возможный спрос на бельё для беременных"
"assortment analysis","seasonality","высокий сезон летом, низкий зимой"
"pricing analysis","current pricing","от 500 до 5000 рублей"
"pricing analysis","competitor pricing","аналогичное бельё от 400 до 6000 рублей"
"pricing analysis","price elasticity","эластичность спроса низкая"
"pricing analysis","margin analysis","наиболее высокая маржа при цене выше 3000 рублей"
"pricing analysis","recommendations[0].action","поднять цену на базовые модели"
"pricing analysis","recommendations[0].expected effect","увеличение маржи на 5%"
"pricing analysis","recommendations[0].timeline","3 месяца"
"pricing analysis","recommendations[0].risk","небольшой риск снижения объёма продаж"
"advertising effectiveness","campaigns[0].name","кампания 1"
"advertising effectiveness","campaigns[0].channel","VK influencers"
"advertising effectiveness","campaigns[0].budget","100000"
"advertising effectiveness","campaigns[0].spent","90000"
"advertising effectiveness","campaigns[0].impressions","2000000"
"advertising effectiveness","campaigns[0].clicks","50000"
"advertising effectiveness","campaigns[0].ctr","25"
"advertising effectiveness","campaigns[0].conversions","10000"
"advertising effectiveness","campaigns[0].cr","20"
"advertising effectiveness","campaigns[0].acos","9"
"advertising effectiveness","campaigns[0].roas","110"
"advertising effectiveness","campaigns[0].revenue","1100000"
"advertising effectiveness","campaigns[0].profit","330000"
"advertising effectiveness","campaigns[1].name","кампания 2"
"advertising effectiveness","campaigns[1].channel","YouTube influencers"
"advertising effectiveness","campaigns[1].budget","100000"
"advertising effectiveness","campaigns[1].spent","95000"
"advertising effectiveness","campaigns[1].impressions","1800000"
"advertising effectiveness","campaigns[1].clicks","45000"
"advertising effectiveness","campaigns[1].ctr","25"
"advertising effectiveness","campaigns[1].conversions","9000"
"advertising effectiveness","campaigns[1].cr","20"
"advertising effectiveness","campaigns[1].acos","10.5"
"advertising effectiveness","campaigns[1].roas","104"
"advertising effectiveness","campaigns[1].revenue","940000"
"advertising effectiveness","campaigns[1].profit","282000"
"advertising effectiveness","total stats.budget","300000"
"advertising effectiveness","total stats.revenue","2040000"
"advertising effectiveness","total stats.roas","68"
"advertising effectiveness","total stats.acos","10"
"advertising effectiveness","best campaigns[0].name","кампания 1"
"advertising effectiveness","best campaigns[0].why","лучший ROAS и ACOS"
"advertising effectiveness","best campaigns[1].name","кампания 2"
"advertising effectiveness","best campaigns[1].why","второй лучший результат"
"advertising effectiveness","recommendations[0].action","удвоить бюджет кампании 1"
"advertising effectiveness","recommendations[0].expected effect","увеличение выручки на 20% и прибыли на 600000 рублей"
"advertising effectiveness","recommendations[0].timeline","3 месяца"
"advertising effectiveness","recommendations[0].budget","200000"
"logistics","fulfillment type","FBS"
"logistics","current costs","200000"
"logistics","cost per order","33"
"logistics","delivery times","до 7 дней по Москве, до 10 дней по России"
"logistics","returns rate","3"
"financial summary","total revenue","2040000"
"financial summary","total costs","1440000"
"financial summary","net profit","600000"
"financial summary","margin","29"
"financial summary","monthly growth","15"
"recommendations","[0].action","расширить ассортимент в женских casual категориях"
"recommendations","[0].category","ассортимент"
"recommendations","[0].priority","высокий"
"recommendations","[0].expected effect","увеличение выручки на 10%"
"recommendations","[0].timeline","6 месяцев"
"recommendations","[0].implementation_steps[0]","провести исследование трендов"
"recommendations","[0].implementation_steps[1]","разработать новые коллекции"
"recommendations","[0].implementation_steps[2]","запустить рекламную кампанию"
"recommendations","[1].action","инвестировать в продвижение блогеров с наибольшим ROI"
"recommendations","[1].category","реклама"
"recommendations","[1].priority","высокий"
"recommendations","[1].expected effect","увеличение продаж на 20%"
"recommendations","[1].timeline","3 месяца"
"recommendations","[1].budget","200000"